species	subject_id	speed	testing_day	spatial_lag	slope	subject	
1.000	1.000	10.204	2.000	0.125	0.622	B	
1.000	1.000	10.204	3.000	0.087	0.554	B	
1.000	1.000	10.204	8.000	0.128	0.678	B	
1.000	1.000	10.204	9.000	0.111	0.713	B	
1.000	1.000	10.204	14.000	0.111	0.511	B	
1.000	1.000	10.204	15.000	-0.073	0.566	B	
1.000	1.000	10.204	20.000	0.025	0.588	B	
1.000	1.000	13.537	0.000	0.325	0.489	B	
1.000	1.000	13.537	1.000	0.405	0.624	B	
1.000	1.000	13.537	6.000	0.241	0.588	B	
1.000	1.000	13.537	7.000	0.256	0.574	B	
1.000	1.000	13.537	12.000	0.143	0.512	B	
1.000	1.000	13.537	13.000	0.157	0.544	B	
1.000	1.000	13.537	18.000	0.123	0.605	B	
1.000	1.000	13.537	19.000	0.120	0.515	B	
1.000	1.000	19.952	4.000	0.306	0.496	B	
1.000	1.000	19.952	5.000	0.429	0.545	B	
1.000	1.000	19.952	10.000	0.271	0.451	B	
1.000	1.000	19.952	11.000	0.234	0.454	B	
1.000	1.000	19.952	16.000	0.162	0.422	B	
1.000	1.000	19.952	17.000	0.165	0.447	B	
1.000	1.000	19.952	21.000	0.297	0.423	B	
1.000	1.000	19.952	22.000	0.265	0.486	B	
1.000	2.000	10.291	1.000	0.277	0.807	H	
1.000	2.000	10.291	5.000	0.212	0.759	H	
1.000	2.000	10.291	6.000	0.086	0.734	H	
1.000	2.000	13.721	3.000	0.155	0.860	H	
1.000	2.000	13.721	4.000	0.197	0.843	H	
1.000	2.000	13.721	7.000	0.249	0.574	H	
1.000	2.000	20.582	0.000	0.657	0.493	H	
1.000	2.000	20.582	2.000	0.503	0.517	H	
1.000	2.000	20.582	8.000	0.562	0.461	H	
2.000	3.000	10.291	0.000	0.739	0.620	AL	
2.000	3.000	10.291	1.065	0.963	0.871	AL	
2.000	3.000	10.291	3.036	1.234	0.965	AL	
2.000	3.000	13.721	2.020	1.229	0.606	AL	
2.000	3.000	13.721	2.033	1.651	0.407	AL	
2.000	3.000	13.721	3.046	1.576	0.560	AL	
2.000	3.000	20.582	0.022	1.110	0.852	AL	
2.000	3.000	20.582	1.052	1.250	0.588	AL	
2.000	3.000	20.582	3.056	1.907	0.506	AL	
2.000	4.000	10.291	0.000	0.522	0.778	AT	
2.000	4.000	10.291	0.068	0.513	3.035	AT	
2.000	4.000	13.721	0.015	0.396	0.762	AT	
2.000	4.000	13.721	0.055	0.355	0.871	AT	
2.000	4.000	20.582	0.029	0.850	0.434	AT	
2.000	4.000	20.582	0.045	0.995	0.335	AT	
2.000	5.000	10.291	0.000	0.738	0.648	JP	
2.000	5.000	10.291	0.070	0.745	0.881	JP	
2.000	5.000	13.721	0.025	0.662	0.841	JP	
2.000	5.000	13.721	0.050	0.823	0.773	JP	
2.000	5.000	20.582	0.014	0.901	0.492	JP	
2.000	5.000	20.582	0.060	1.309	0.546	JP	
2.000	6.000	10.291	1.201	0.950	0.738	MS	
2.000	6.000	10.291	2.096	0.645	1.648	MS	
2.000	6.000	10.291	4.302	0.698	1.770	MS	
2.000	6.000	10.291	5.122	0.678	1.496	MS	
2.000	6.000	13.721	0.000	0.955	0.650	MS	
2.000	6.000	13.721	2.144	0.724	1.137	MS	
2.000	6.000	13.721	4.279	0.815	1.198	MS	
2.000	6.000	20.582	1.521	1.268	0.377	MS	
2.000	6.000	20.582	2.057	0.958	0.766	MS	
2.000	6.000	20.582	3.196	1.166	0.480	MS	
2.000	6.000	20.582	5.231	0.880	1.629	MS	
2.000	7.000	10.291	0.000	1.157	0.464	SM	
2.000	7.000	10.291	1.078	0.753	0.480	SM	
2.000	7.000	13.721	0.015	1.269	0.547	SM	
2.000	7.000	13.721	1.065	1.138	0.434	SM	
2.000	7.000	20.582	0.029	1.899	0.195	SM	
2.000	7.000	20.582	1.055	1.411	0.315	SM	
2.000	8.000	10.291	0.024	1.297	0.671	SP	
2.000	8.000	10.291	0.933	1.123	0.712	SP	
2.000	8.000	10.291	1.821	1.130	0.714	SP	
2.000	8.000	10.291	3.073	0.965	0.742	SP	
2.000	8.000	13.721	0.052	1.381	0.450	SP	
2.000	8.000	13.721	0.876	1.276	0.617	SP	
2.000	8.000	13.721	2.852	1.189	0.791	SP	
2.000	8.000	20.582	0.000	1.597	0.338	SP	
2.000	8.000	20.582	0.953	1.673	0.408	SP	
2.000	8.000	20.582	1.045	1.368	0.443	SP	
2.000	8.000	20.582	3.904	1.609	0.683	SP	
2.000	9.000	10.291	0.866	0.537	0.732	SS	
2.000	9.000	10.291	1.886	0.555	0.887	SS	
2.000	9.000	10.291	4.005	0.385	0.963	SS	
2.000	9.000	10.291	4.025	0.230	1.420	SS	
2.000	9.000	10.291	5.149	0.203	1.149	SS	
2.000	9.000	13.721	0.000	0.633	0.436	SS	
2.000	9.000	13.721	2.031	0.550	1.001	SS	
2.000	9.000	20.582	1.020	0.878	0.605	SS	
2.000	9.000	20.582	1.870	0.617	0.918	SS	
2.000	9.000	20.582	3.137	0.488	0.721	SS	
2.000	9.000	20.582	5.131	0.340	0.687	SS	
2.000	10.000	10.291	0.029	0.637	1.317	TS	
2.000	10.000	10.291	1.019	0.632	1.090	TS	
2.000	10.000	13.721	0.000	0.795	0.796	TS	
2.000	10.000	13.721	1.036	0.812	2.495	TS	
2.000	10.000	20.582	0.062	0.768	0.698	TS	
2.000	10.000	20.582	1.010	1.072	0.674	TS	
