species	subject_id	speed	testing_day	spatial_lag	slope	subject	
1.000	1.000	10.204	2.000	0.125	0.622	B	
1.000	1.000	13.537	0.000	0.325	0.489	B	
1.000	1.000	19.952	4.000	0.306	0.496	B	
1.000	2.000	10.291	1.000	0.277	0.807	H	
1.000	2.000	13.721	3.000	0.155	0.860	H	
1.000	2.000	20.582	0.000	0.657	0.493	H	
2.000	3.000	10.291	0.000	0.739	0.620	AL	
2.000	3.000	13.721	2.027	1.410	0.532	AL	
2.000	3.000	20.582	0.022	1.110	0.852	AL	
2.000	4.000	10.291	0.000	0.490	0.986	AT	
2.000	4.000	13.721	0.015	0.372	0.819	AT	
2.000	4.000	20.582	0.029	0.903	0.399	AT	
2.000	5.000	10.291	0.000	0.741	0.751	JP	
2.000	5.000	13.721	0.025	0.742	0.808	JP	
2.000	5.000	20.582	0.014	1.118	0.506	JP	
2.000	6.000	10.291	1.201	0.950	0.738	MS	
2.000	6.000	13.721	0.000	0.955	0.650	MS	
2.000	6.000	20.582	1.521	1.268	0.377	MS	
2.000	7.000	10.291	0.000	1.157	0.464	SM	
2.000	7.000	13.721	0.015	1.269	0.547	SM	
2.000	7.000	20.582	0.029	1.899	0.195	SM	
2.000	8.000	10.291	0.024	1.297	0.671	SP	
2.000	8.000	13.721	0.052	1.381	0.450	SP	
2.000	8.000	20.582	0.000	1.597	0.338	SP	
2.000	9.000	10.291	0.866	0.537	0.732	SS	
2.000	9.000	13.721	0.000	0.633	0.436	SS	
2.000	9.000	20.582	1.020	0.878	0.605	SS	
2.000	10.000	10.291	0.029	0.637	1.317	TS	
2.000	10.000	13.721	0.000	0.795	0.796	TS	
2.000	10.000	20.582	0.062	0.768	0.698	TS	
